arquivo_json;tipo;total_imagens;imagens_alteradas;percentual_alterado;total_acoes;arquivo_saida
resultado - Gabriel.json;usuario_limpo;178;25;14.04%;25;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Gabriel.json
resultado - Gladson.json;usuario_limpo;178;85;47.75%;85;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Gladson.json
resultado - Ketlin.json;usuario_limpo;178;22;12.36%;22;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Ketlin.json
resultado - Keyriane.json;usuario_limpo;178;4;2.25%;4;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Keyriane.json
resultado - Leonardo.json;usuario_limpo;178;67;37.64%;67;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Leonardo.json
resultado - Matheus.json;usuario_limpo;178;118;66.29%;118;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Matheus.json
resultado - Meu.json;gabarito_copiado;178;0;0.00%;0;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Meu.json
resultado - Milena.json;usuario_limpo;178;5;2.81%;5;C:\Users\mathe\Downloads\BenaExt\Parte Unificada com ajustes\rotulos_limpos_gabarito\resultado - Milena.json
